見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
介護の仕事未経験者向け介護基礎研修会・就職相談会,,,,(1)1月30日（木）?2月1日（土）9:30?,(1)和歌山市民会館,介護未経験の中高年齢者等で就職希望の方など,各20人（先着順）,,,,ファックスで所定の申込書（申込先、市町村で配布）を県介護普及センター電話0739-22-6589ファックス0739-22-6569,,,,,,,
介護の仕事未経験者向け介護基礎研修会・就職相談会,,,,(2)2月7日（金）?9日（日）9:30?,(2)紀南文化会館（田辺市）,介護未経験の中高年齢者等で就職希望の方など,各20人（先着順）,,,,ファックスで所定の申込書（申込先、市町村で配布）を県介護普及センター電話0739-22-6589ファックス0739-22-6569,,,,,,,
介護の仕事未経験者向け介護基礎研修会・就職相談会,,,,(3)3月16日（月）・18日（水）・19日（木）9:30?,(3)橋本市保健福祉センター,介護未経験の中高年齢者等で就職希望の方など,各20人（先着順）,,,,ファックスで所定の申込書（申込先、市町村で配布）を県介護普及センター電話0739-22-6589ファックス0739-22-6569,,,,,,,
福祉のしごと就職相談会inわかやま・はしもと,開催地域で活躍している事業所が相談に応じます,,,(1)2月1日（土）13:00?14:30,(1)和歌山市民会館,,,,,県福祉人材センターハートワーク電話073-435-5211※手話通訳・要約筆記は要予約 ,,,,,,,,
福祉のしごと就職相談会inわかやま・はしもと,開催地域で活躍している事業所が相談に応じます,,,(2)3月19日（木）13:00?14:30,(2)橋本市民会館,,,,,県福祉人材センターハートワーク電話073-435-5211※手話通訳・要約筆記は要予約 ,,,,,,,,
保育士応援カフェ,保育士として再就職を検討されている方の情報交換の場,,,1月24日（金）13:30?15:30,よりみちサロンいおり（田辺市）,,,,,紀南福祉人材バンク電話0739-26-4918 ,,,,,,,,
あいサポーター研修＆精神・発達障害者しごとサポーター養成講座,,,,(1)1月21日（火）13:30?16:00,(1)和歌山労働局（和歌山市）,,(1)36人,,,,郵送、電話、ファックスで住所、氏名、電話番号を(1)1月14日(2)30日までに和歌山労働局〒640-8581和歌山市黒田2-3-3電話073-488-1161ファックス073-475-0115,,,,,,,
あいサポーター研修＆精神・発達障害者しごとサポーター養成講座,,,,(2)2月6日（木）13:30?16:00,(2)情報交流センターBig・U（田辺市）,,(2)50人（先着順）,,,,郵送、電話、ファックスで住所、氏名、電話番号を(1)1月14日(2)30日までに和歌山労働局〒640-8581和歌山市黒田2-3-3電話073-488-1161ファックス073-475-0115,,,,,,,
アルコール健康障害研修会,専門医による講演、アルコール依存症体験談など,,,2月1日（土）13:30?16:00,西牟婁振興局（田辺市）,,60人（先着順）,,,,電話、ファックスで氏名、電話番号、所属機関名（関係者のみ）を1月24日（一時保育・手話通訳・要約筆記希望者は15日）までに県精神保健福祉センター電話073-435-5194ファックス073-435-5193,,,,,,,
地域講演会「考える、土砂災害」,土砂災害に関する最新の話題提供や調査研究報告、事例紹介など,,,(1)1月25日（土）13:30?15:45,(1)日高川町防災センター,,,,,県土砂災害啓発センター電話0735-29-7531 ※手話通訳・要約筆記あり,,,,,,,,
